signo_id ;numero_semana;mensagem
Aquario;1;Você não dá presente. Você entrega conceito, ideia e revolução em forma de mimo.
Aquario;2;Se o presente vier com manual alternativo e um QR code misterioso, melhor ainda.
Aquario;3;Essa semana, evite dar algo comum. Aquariano não nasceu pra seguir o catálogo.
Aquario;4;Presente tradicional? Só se for irônico.
Aquario;5;Você já pensou em imprimir um presente em 3D? Pois é. Isso é muito você.
Aquario;6;Dica: crie uma playlist junto com o presente. A pessoa vai entender… ou não.
Aquario;7;Você provavelmente teve uma ideia genial ontem. Transforme ela em presente hoje.
Aquario;8;Dê algo tão original que nem o algoritmo consegue prever.
Aquario;9;Se alguém disser “que estranho”, você sabe que acertou.
Aquario;10;Essa semana, evite embrulhos comuns. O papel pode ser um mapa, um código ou uma provocação.
Aquario;11;Você presentearia com uma planta carnívora só pelo caos. E a gente apoia.
Aquario;12;Gosta de surpresa? Sim. Mas só se for imprevisível, não aleatória.
Aquario;13;O presente ideal hoje? Um item que ninguém mais no planeta teria.
Aquario;14;Dica: personalize o presente com algo que só vocês dois entendam. E que ninguém mais deva saber.
Aquario;15;Se o presente parece estranho demais… talvez esteja perfeito.
Aquario;16;Aquário não presenteia. Ele promove experiências sociais disfarçadas de objetos.
Aquario;17;Se for tecnológico, excêntrico ou conceitual: tá aprovado.
Aquario;18;Dê algo que faça a pessoa pensar: “nunca imaginei isso… mas eu amei!”
Aquario;19;Evite presentes que venham com regras. Ou que sejam previsíveis.
Aquario;20;Essa semana, surpreenda até você mesmo com o que escolher.
Aquario;21;Você consegue transformar um presente de R$ 10 em um manifesto cultural.
Aquario;22;O presente não precisa funcionar. Só precisa provocar reflexão.
Aquario;23;Brinque com a expectativa. Entregue um presente dentro de outro, dentro de outro…
Aquario;24;Invente um presente. Isso mesmo. Invente.
Aquario;25;A surpresa ideal: algo entre um protótipo e uma performance artística.
Aquario;26;Não se prenda a embalagens. Faça arte com fita crepe e cola colorida.
Aquario;27;Essa semana, um presente que causa debate é melhor que um que causa sorriso fácil.
Aquario;28;Você daria um telescópio e diria: “vai ver o mundo além”.
Aquario;29;Evite clichês. A menos que você os reinvente completamente.
Aquario;30;Dica: um presente com propósito social ou ecológico vai falar sua língua.
Aquario;31;Você já pensou em dar um presente em realidade aumentada? Só falta o app.
Aquario;32;Essa semana, não explique o presente. Deixe a pessoa interpretar.
Aquario;33;Transforme um presente simples em algo lendário com uma boa história inventada.
Aquario;34;Você é o único capaz de dar um presente e ainda fazer a pessoa se sentir genial.
Aquario;35;Presenteie com aquilo que ninguém sabia que precisava. Nem você.
Aquario;36;Essa semana, não pense no óbvio. Pense no universo paralelo.
Aquario;37;Um presente disruptivo. O nome já te seduz, né?
Aquario;38;Dê algo feito com as próprias mãos (mesmo que pareça um experimento).
Aquario;39;Tente misturar ciência e carinho em um só pacote. Sim, é possível.
Aquario;40;Você consegue transformar sarcasmo em presente. Isso é uma superpotência.
Aquario;41;Essa semana, ofereça liberdade em forma de presente.
Aquario;42;Crie um presente em colaboração com 3 amigos e um bot. Totalmente aquariano.
Aquario;43;Se o presente parece bizarro… talvez esteja avançado demais para o tempo dele.
Aquario;44;Você poderia dar um presente por voto popular. Ou por sorteio. Ou só por intuição.
Aquario;45;Quer surpreender? Use um enigma como convite para abrir o presente.
Aquario;46;Presenteie como se estivesse lançando um novo movimento cultural.
Aquario;47;Um presente seu sempre vira história de mesa de bar.
Aquario;48;Essa semana, o desafio: dar um presente que inspire revolução (ou risadas).
Aquario;49;Um presente que estimule a imaginação (e cause confusão leve) é seu estilo.
Aquario;50;Giviti sabe: seu presente nunca é o que parece. E é por isso que funciona.
Aquario;51;Dê um presente que cause um “ué?”. O resto é com a pessoa.
Aquario;52;Essa semana, seja 100% você: entregue algo genial, imprevisível e com muito estilo próprio.
Escorpião;1;Você não dá presente: você seduz com embrulho.
Escorpião;2;Se o presente não tiver um toque de mistério, é só uma embalagem com data.
Escorpião;3;Dê algo que diga “eu sei mais sobre você do que você imagina”.
Escorpião;4;Presente bom tem que tocar fundo. Nada de superficialidade.
Escorpião;5;Essa semana, escolha algo que a pessoa nem sabia que queria. Mas precisava.
Escorpião;6;Escorpiano entrega presente como quem faz uma revelação.
Escorpião;7;Dica: o bilhete junto vale tanto quanto o que está dentro. Capriche no drama.
Escorpião;8;Se o presente puder provocar lágrimas ou arrepios, melhor ainda.
Escorpião;9;Você quer impactar, não apenas agradar.
Escorpião;10;A pessoa vai lembrar desse presente pra sempre. Missão dada.
Escorpião;11;Um presente escorpiano não diz “eu te amo”. Diz “te entendo mais do que você pensa.”
Escorpião;12;Evite presentes vazios. Você nasceu pra ser inesquecível.
Escorpião;13;Essa semana, use o presente como declaração. Ou vingança carinhosa.
Escorpião;14;Você daria um presente e, sem dizer nada, criaria uma história por trás.
Escorpião;15;Dê algo simbólico. Mas com peso emocional de novela mexicana.
Escorpião;16;Cuidado: você pode se apegar ao presente antes de entregar.
Escorpião;17;O presente não precisa ser grande. Mas tem que ter intensidade.
Escorpião;18;Escorpiano não esquece presentes bons. Nem os ruins. Pense nisso.
Escorpião;19;Essa semana, sua missão: causar impacto. Com afeto, claro.
Escorpião;20;Use o presente pra dizer aquilo que você nunca diria em voz alta.
Escorpião;21;Você daria um perfume com nota de mistério e final trágico. E funcionaria.
Escorpião;22;Dica: presente preto e elegante nunca erra.
Escorpião;23;Presente com “duplo sentido emocional” é sua especialidade.
Escorpião;24;Faça da entrega do presente uma cena. Com trilha sonora e tudo.
Escorpião;25;Essa semana, vá além do óbvio. Presenteie como quem revela um segredo.
Escorpião;26;Dê algo com intensidade. Tipo um livro que destrói emocionalmente.
Escorpião;27;Você nunca “só entrega” um presente. Você cria um momento ritualístico.
Escorpião;28;Presenteie com significado. O preço é detalhe.
Escorpião;29;Essa semana, um toque de suspense no bilhete não faz mal a ninguém.
Escorpião;30;Você daria uma caixa com camadas. E cada uma teria um simbolismo.
Escorpião;31;Um presente só seu pode deixar a pessoa pensando por dias. E amando por meses.
Escorpião;32;Escorpiane, use o presente como armadilha emocional do bem.
Escorpião;33;Evite dar algo muito claro. O mistério é o laço.
Escorpião;34;Você consegue transformar um chocolate em metáfora de vida.
Escorpião;35;Essa semana, invista em intensidade sutil. Isso existe, e você domina.
Escorpião;36;Presente com história real ou inventada: importante é ser memorável.
Escorpião;37;Um presente escorpiano pode parecer simples, até a pessoa abrir.
Escorpião;38;Use símbolos. Você fala mais com imagem do que com descrição.
Escorpião;39;Essa semana: surpreenda com um toque de sombra e paixão.
Escorpião;40;Dê um presente com cheiro, textura e mistério.
Escorpião;41;Se puder causar catarse emocional, é bônus.
Escorpião;42;Use a entrega pra deixar a pessoa intrigada. A explicação vem depois.
Escorpião;43;Dica: presente escorpiano bom é aquele que deixa marca (emocional).
Escorpião;44;Evite dar algo vazio. Você não nasceu pra superficialidade.
Escorpião;45;Você daria uma playlist, um poema e um olhar profundo.
Escorpião;46;Essa semana, canalize seu drama para o bem: presentear com intensidade.
Escorpião;47;Você transforma até um presente simbólico em acontecimento.
Escorpião;48;Use o presente como extensão da sua personalidade misteriosa.
Escorpião;49;A pessoa vai lembrar de você toda vez que usar. Ou sonhar com o presente.
Escorpião;50;Escorpião presenteia com poder emocional. Sempre.
Escorpião;51;Essa semana, presenteie como quem dá um feitiço do bem.
Escorpião;52;E lembre-se: seu presente não é só presente. É experiência emocional completa.
Touro;1;Dê um presente que abrace. Ou que alimente. Melhor ainda se fizer os dois.
Touro;2;Evite dar algo que você mesmo queira guardar. Touro sofre com desapego.
Touro;3;Essa semana, presente com textura, cheiro e sabor. Sensorial é o caminho.
Touro;4;Você valoriza o conforto. Que tal um presente que diga: “descansa, tá?”
Touro;5;Touro presenteia como quem monta um altar do bem-estar. E tá certíssimo.
Touro;6;Um presente que dure, que funcione, que agrade. Pronto: taurino feliz.
Touro;7;Se for comestível, tem 50% mais chance de dar certo.
Touro;8;Essa semana: escolha algo que diga “mimo de quem se importa (e tem bom gosto)”.
Touro;9;Evite presentes barulhentos, confusos ou com cheiro estranho. Touro tem padrão.
Touro;10;Seu presente pode ser um edredom, uma caixa de trufas ou uma playlist relax.
Touro;11;Taurine, você dá presente como quem dá um abraço em forma de fondue.
Touro;12;Essa semana, vá de presente útil. Mas com toque de requinte, claro.
Touro;13;Evite dar algo desconfortável. O presente não pode pinicar.
Touro;14;Presente simples e de qualidade? Touro assina embaixo.
Touro;15;Essa semana, prefira presente que seja bom… e depois lindo.
Touro;16;Um cobertor, um vinho e um livro? O trio sagrado do presente taurino.
Touro;17;Dica: se der comida, não esqueça de provar antes. Pra garantir, claro.
Touro;18;Taurino presenteia com calma, mas acerta na essência.
Touro;19;Se puder incluir uma vela aromática no presente, melhor ainda.
Touro;20;Você daria um cobertor térmico de presente e se sentiria um herói.
Touro;21;Um presente bem embalado já conta como 50% da experiência.
Touro;22;Essa semana, escolha algo que sirva, dure e dê vontade de repetir.
Touro;23;Presente sem gosto ou cheiro? Touro chama de provocação.
Touro;24;Você presenteia como quem diz: “toma aqui um pedaço do meu conforto”.
Touro;25;Um presente rústico, chique e com alma. Perfeito pra você.
Touro;26;Dê algo que se possa usar num domingo chuvoso com Netflix e chá.
Touro;27;Essa semana: dê um presente que combine com silêncio e bem-estar.
Touro;28;Taurino dá presente pensando na durabilidade e no prazer de usar.
Touro;29;Dica: presente com textura macia = sucesso com Touro.
Touro;30;Um bom presente é aquele que pode ser usado deitado.
Touro;31;Você daria um presente com laço duplo e bombons dentro. Amor e açúcar.
Touro;32;Touro presenteia com consistência. Nada de “achei bonito e comprei”.
Touro;33;Você já pensou em presentear com um fondue portátil? Touro adoraria.
Touro;34;Essa semana: dê algo que te traga prazer só de imaginar a pessoa usando.
Touro;35;Touro entrega presente com intenção e discrição. E muita qualidade.
Touro;36;Dê um presente que possa ser saboreado, literal ou simbolicamente.
Touro;37;Essa semana: escolha presente que envolva prazer e descanso.
Touro;38;Taurino gosta de toque, cheiro e sabor. Um presente completo atinge os 3 sentidos.
Touro;39;Você gosta de conforto. Então dê aquilo que ofereceria a você mesmo.
Touro;40;Essa semana, evite dar algo que faça barulho. Touro ama paz.
Touro;41;Presenteie com algo que traga prazer lento, tipo chá ou massagem.
Touro;42;Taurino presenteia com firmeza e coração. E talvez comida.
Touro;43;Evite dar algo que pareça improvisado. Touro sente na hora.
Touro;44;Essa semana, invista em qualidade. Touro nota cada detalhe.
Touro;45;Seu presente não precisa de barulho. Só de bom gosto.
Touro;46;Dê um presente que se possa guardar por anos — ou saborear devagar.
Touro;47;Essa semana: escolha com calma e entregue com carinho.
Touro;48;Touro é constância. Seu presente deve refletir isso.
Touro;49;Dê algo que diga: “pode relaxar, é de verdade”.
Touro;50;Taurino presenteia com valor real. Você gosta de investir em cuidado.
Touro;51;Essa semana, evite exageros. Um presente bem escolhido fala alto.
Touro;52;Presenteie como quem oferece conforto, prazer e afeto. E uma sobremesa.
Libra;1;A indecisão vem. Mas relaxa: com charme, até presente errado vira tendência.
Libra;2;Escolher entre dois presentes perfeitos: missão impossível, versão Libra.
Libra;3;Dê um presente que combine com o feed da pessoa. Estética é tudo.
Libra;4;Essa semana, presenteie com equilíbrio. Mas o laço pode ser extravagante.
Libra;5;O presente ideal? Um que seja bonito, funcional e… ai, tem mais opções?
Libra;6;Você pode até demorar pra escolher, mas entrega com um sorrisinho perfeito.
Libra;7;Libriano presenteia como quem oferece uma experiência estética.
Libra;8;Dê algo que pareça saído de uma galeria. Ou de uma vitrine chique.
Libra;9;Presenteie com harmonia, ou pelo menos uma paleta de cores bem definida.
Libra;10;Essa semana, o desafio é escolher um só. Ou fingir que escolheu.
Libra;11;Dê algo que represente “paz, amor e curadoria impecável”.
