ID,Módulo,Funcionalidade,Caso de Teste,Pré-condições,Passos,Resultado Esperado,Tipo,Criticidade,Prioridade
AUTH-001,Autenticação,Login,Login com credenciais válidas,"Usuário cadastrado com email ""teste@email.com"" e senha ""123456""","1. Acessar página inicial 2. Clicar aba ""Fazer Login"" 3. Digitar email ""teste@email.com"" 4. Digitar senha ""123456"" 5. Clicar ""Entrar""",Usuário redirecionado para Início com mensagem de boas-vindas,Positivo,Crítica,Alta
AUTH-002,Autenticação,Login,Login com email inexistente,Nenhum usuário cadastrado com email informado,"1. Acessar página inicial 2. Clicar aba ""Fazer Login"" 3. Digitar email ""naoexiste@email.com"" 4. Digitar senha ""123456"" 5. Clicar ""Entrar""","Mensagem de erro ""Credenciais inválidas"" exibida. Usuário permanece na tela de login",Negativo,Crítica,Alta
AUTH-003,Autenticação,Login,Login com senha incorreta,"Usuário cadastrado com email ""teste@email.com""","1. Acessar página inicial 2. Clicar aba ""Fazer Login"" 3. Digitar email ""teste@email.com"" 4. Digitar senha errada ""senhaerrada"" 5. Clicar ""Entrar""","Mensagem de erro ""Credenciais inválidas"" exibida. Usuário permanece na tela de login",Negativo,Crítica,Alta
AUTH-004,Autenticação,Login,Login com campo email vazio,N/A,"1. Acessar página inicial 2. Clicar aba ""Fazer Login"" 3. Deixar email vazio 4. Digitar senha ""123456"" 5. Clicar ""Entrar""","Validação exibe ""E-mail é obrigatório""",Negativo,Alta,Alta
AUTH-005,Autenticação,Login,Login com campo senha vazio,N/A,"1. Acessar página inicial 2. Clicar aba ""Fazer Login"" 3. Digitar email ""teste@email.com"" 4. Deixar senha vazia 5. Clicar ""Entrar""","Validação exibe ""Senha é obrigatória""",Negativo,Alta,Alta
AUTH-006,Autenticação,Login,Login com email formato inválido,N/A,"1. Acessar página inicial 2. Clicar aba ""Fazer Login"" 3. Digitar ""emailinvalido"" 4. Digitar senha ""123456"" 5. Clicar ""Entrar""","Validação exibe ""E-mail inválido""",Negativo,Alta,Alta
AUTH-007,Autenticação,Login,Login com opção Manter-me logado marcada,Usuário cadastrado,"1. Fazer login com ""Manter-me logado"" marcado 2. Fechar navegador 3. Reabrir navegador 4. Acessar aplicação",Usuário permanece logado após reabrir navegador,Positivo,Média,Média
AUTH-008,Autenticação,Login,Login com opção Manter-me logado desmarcada,Usuário cadastrado,"1. Fazer login com ""Manter-me logado"" desmarcado 2. Fechar navegador 3. Reabrir navegador 4. Acessar aplicação",Usuário redirecionado para tela de login,Positivo,Média,Média
AUTH-009,Autenticação,Login,Toggle de visibilidade de senha no login,N/A,"1. Acessar página inicial 2. Clicar aba ""Fazer Login"" 3. Digitar senha ""123456"" 4. Clicar no ícone de olho","Senha exibida em texto claro. Ícone muda para olho fechado. Clicar novamente oculta a senha",Positivo,Média,Média
AUTH-010,Autenticação,Registro,Registro com Passe VIP válido,"Passe VIP ""TESTE2024"" ativo com vagas disponíveis","1. Acessar página inicial 2. Clicar aba ""Criar Conta"" 3. Digitar Passe VIP ""TESTE2024"" 4. Preencher nome, sobrenome, email, senha 5. Clicar ""Criar Conta""",Conta criada com sucesso. Usuário redirecionado para Início,Positivo,Crítica,Alta
